time,I1P.conc,PP1Sp.n,PP1_active.N,S.N,S1.N,Sp.N,ca.conc
166.0,0.00279998717852,6.99627790359e-06,1.77326549652e-06,0.00956983662781,0.0473785821304,19.9165137457,0.0001
167.0,0.00279999160885,9.63210461862e-06,3.78790115268e-08,0.00966761366888,0.0471731692085,19.9165216103,0.0001
168.0,0.00279997755408,7.15632471187e-06,1.72519954362e-06,0.00976592482334,0.0469686574732,19.9165280269,0.0001
169.0,0.00279997792344,6.4953518213e-06,2.18474639479e-06,0.00986449753886,0.0467650430295,19.9165338763,0.0001
170.0,0.00280000231194,6.98479548203e-06,1.88007621592e-06,0.00996306413186,0.0465623219942,19.9165479002,0.0001
171.0,0.00279999006637,1.21013994104e-05,-1.51053470111e-06,0.0100623210748,0.0463604904949,19.9165450548,0.0001
172.0,0.0027999828237,5.61500710604e-06,2.83916365114e-06,0.0101620809916,0.0461595447164,19.9165485442,0.0001
173.0,0.00279998609379,7.68681195965e-06,1.48013346029e-06,0.010262000653,0.0459594808152,19.9165476191,0.0001
174.0,0.00279998640299,6.7573565067e-06,2.12475807102e-06,0.0103622559858,0.0457602949884,19.9165489852,0.0001
175.0,0.00279999008826,9.29982987392e-06,4.51404040847e-07,0.0104628462096,0.0455619834314,19.9165457364,0.0001
176.0,0.00279999252546,1.49109033767e-05,-3.264159056e-06,0.0105635856115,0.0453645423683,19.916543858,0.0001
177.0,0.00279998147011,1.04126623577e-05,-2.36867001468e-07,0.0106642451931,0.045167967993,19.9165615715,0.0001
178.0,0.0028000098834,1.33484300173e-05,-2.18320262178e-06,0.0107656750245,0.0449722565994,19.9165582531,0.0001
179.0,0.00280000889519,1.31082393446e-05,-2.00442921604e-06,0.0108670739516,0.0447774044267,19.9165670809,0.0001
180.0,0.00279999062683,1.08801467038e-05,-4.9274317139e-07,0.0109693815749,0.0445834077841,19.9165593947,0.0001
181.0,0.00279998211382,1.17658204031e-05,-1.05177600402e-06,0.0110718200154,0.0443902629755,19.9165535454,0.0001
182.0,0.00279996613585,-4.66583891312e-06,9.93406704262e-06,0.0111751159083,0.0441979663203,19.9165489834,0.0001
183.0,0.00279997936807,5.55074391197e-06,3.14010856872e-06,0.0112781460281,0.0440065141764,19.9165341231,0.0001
184.0,0.00279998300079,5.02726683708e-06,3.51096381965e-06,0.0113818986725,0.0438159028924,19.9165181723,0.0001
185.0,0.00279997604603,6.31947709573e-06,2.6764897244e-06,0.0114857847969,0.0436261288289,19.9165055058,0.0001
186.0,0.00279997673348,6.44540881972e-06,2.61593417306e-06,0.0115900170877,0.0434371883663,19.9164925274,0.0001
187.0,0.00279998634568,1.21278057928e-05,-1.15178160335e-06,0.0116944700685,0.0432490778985,19.9164764505,0.0001
188.0,0.00279998156254,6.93334431915e-06,2.33404824456e-06,0.0117995926333,0.0430617938543,19.916460736,0.0001
189.0,0.00279998450863,5.69215497006e-06,3.18516987836e-06,0.0119048199441,0.0428753326501,19.9164466572,0.0001
190.0,0.00279997727508,7.60694637603e-06,1.9358219056e-06,0.0120103759444,0.0426896907312,19.9164284704,0.0001
191.0,0.00279999426767,1.54468825725e-05,-3.27229669162e-06,0.0121161133404,0.0425048645582,19.9164079101,0.0001
192.0,0.00279989217415,-4.2090471748e-06,9.87866219121e-06,0.012223857828,0.042320850621,19.9163655781,0.0001
193.0,0.00279998069072,1.16103956728e-05,-6.53611675172e-07,0.0123303680786,0.0421376454703,19.9163345907,0.0001
194.0,0.00279998528971,5.13165732123e-06,3.68461505125e-06,0.0124372026982,0.041955245553,19.9163256581,0.0001
195.0,0.00279998947592,8.39575747313e-06,1.52816418181e-06,0.0125444764444,0.0417736473782,19.9163021098,0.0001
196.0,0.00279998669261,9.36995407273e-06,8.97503215392e-07,0.0126515851025,0.0415928474692,19.9162935764,0.0001
197.0,0.00279999134365,1.49836953276e-05,-2.81877791104e-06,0.0127595806052,0.0414128423852,19.9162627318,0.0001
198.0,0.00279998063922,6.5301736899e-06,2.84348901409e-06,0.0128678736874,0.0412336286948,19.9162456188,0.0001
199.0,0.00279998576201,9.09643942752e-06,1.15031381208e-06,0.0129765273316,0.0410552029877,19.9162155967,0.0001
200.0,0.00279998737536,8.30324565307e-06,1.7036769669e-06,0.0130854423603,0.0408775618689,19.9161902179,0.0001
201.0,0.00279997800036,7.75850544428e-06,2.09794292024e-06,0.0131949284276,0.0407007019421,19.9161565824,0.0001
202.0,0.00279999426145,1.31013476243e-05,-1.45074565221e-06,0.013304541351,0.0405246198468,19.9161224088,0.0001
203.0,0.00279998430442,5.99448991113e-06,3.31489935878e-06,0.0134146102823,0.0403493122095,19.916096177,0.0001
204.0,0.00279999658207,1.76522646257e-05,-4.43546747839e-06,0.0135247071385,0.0401747756935,19.916059153,0.0001
205.0,0.00279997519557,6.04892370412e-06,3.34038836128e-06,0.0136364301664,0.0400010069984,19.9160078848,0.0001
206.0,0.00280001112045,1.48476971509e-05,-2.51306354086e-06,0.0137479824438,0.0398280028183,19.9159511,0.0001
207.0,0.00279999470114,1.0623858788e-06,6.71363761344e-06,0.013859274139,0.0396557598535,19.9159347357,0.0001
208.0,0.00279997213103,2.93015249436e-06,5.49398860686e-06,0.0139716037634,0.0394842747934,19.9158809558,0.0001
209.0,0.00279998623235,7.26466317175e-06,2.61826576083e-06,0.0140834859737,0.0393135443615,19.9158468078,0.0001
210.0,0.00279998429074,7.10094942081e-06,2.74965132544e-06,0.0141959305709,0.0391435652857,19.9158090975,0.0001
211.0,0.00279998545867,7.40656477455e-06,2.5699580952e-06,0.0143087859959,0.0389743343318,19.9157673139,0.0001
212.0,0.00279998131755,1.10732185102e-05,1.51533524088e-07,0.0144218554575,0.0388058482721,19.9157246759,0.0001
213.0,0.00279997497397,6.74185435619e-06,3.06528927631e-06,0.0145356285163,0.0386381039004,19.9156789613,0.0001
214.0,0.00279997581586,8.38232253397e-06,2.00159845538e-06,0.0146494453195,0.0384710980037,19.9156343346,0.0001
215.0,0.00279997822136,6.61816230654e-06,3.19454012648e-06,0.014763582427,0.0383048274036,19.9155926979,0.0001
216.0,0.00279997324773,6.91803819323e-06,3.01906300036e-06,0.0148782962616,0.038139288922,19.9155411104,0.0001
217.0,0.00280000637473,7.28999955795e-06,2.79545096791e-06,0.0149930912487,0.0379744794158,19.9154964662,0.0001
218.0,0.00279998532472,9.51641769012e-06,1.33103260552e-06,0.0151081060025,0.0378103956992,19.9154515467,0.0001
219.0,0.00279998687269,8.48085127175e-06,2.03994540919e-06,0.0152237065398,0.0376470346606,19.9154016628,0.0001
220.0,0.00279998685171,8.94113465477e-06,1.75828761887e-06,0.0153396489898,0.0374843931871,19.9153490601,0.0001
221.0,0.00279997325745,7.13983303573e-06,2.98842668761e-06,0.01545597761,0.0373224681679,19.9152963116,0.0001
222.0,0.00279999144747,1.19984514438e-05,-2.36447173292e-07,0.0155722603144,0.0371612565144,19.915247045,0.0001
223.0,0.00279998903859,1.34818270069e-05,-1.1966243764e-06,0.0156893691638,0.037000755152,19.9151860961,0.0001
